,Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment,Median Wait Traffic Light
165,69,Hervey Bay Hospital,Sep-23,4,3848,-4,77.0,22,8,20,26,61,249,6,289,2
166,69,Hervey Bay Hospital,Sep-23,5,490,15,93.0,22,8,4,28,79,31,6,38,2
167,69,Hervey Bay Hospital,Sep-23,ALL,10981,9,72.0,16,4,35,30,51,547,5,488,1
168,70,Kingaroy Hospital,Sep-23,1,48,-8,100.0,0,-,29,14,35,1,2,0,1
169,70,Kingaroy Hospital,Sep-23,2,574,-11,47.0,12,1,28,24,34,19,3,5,1
170,70,Kingaroy Hospital,Sep-23,3,1878,4,49.0,31,3,19,20,56,31,2,59,3
171,70,Kingaroy Hospital,Sep-23,4,2545,22,54.0,54,7,5,19,79,11,0,188,3
172,70,Kingaroy Hospital,Sep-23,5,1203,29,79.0,60,9,2,30,89,1,0,112,3
173,70,Kingaroy Hospital,Sep-23,ALL,6248,13,56.0,40,6,11,21,69,63,1,364,3
174,71,Maryborough Hospital,Sep-23,1,29,-3,100.0,0,-,31,44,45,0,-,0,1
175,71,Maryborough Hospital,Sep-23,2,966,8,91.0,5,0,42,65,58,19,2,1,1
176,71,Maryborough Hospital,Sep-23,3,2252,2,62.0,21,2,28,54,62,65,3,36,2
177,71,Maryborough Hospital,Sep-23,4,2623,9,65.0,38,6,11,53,80,99,4,162,3
178,71,Maryborough Hospital,Sep-23,5,350,23,88.0,29,9,5,75,90,9,3,33,3
179,71,Maryborough Hospital,Sep-23,ALL,6220,7,69.0,20,4,22,58,71,192,3,232,2
180,72,Monto Hospital,Sep-23,1,2,100,100.0,0,-,100,100,100,0,-,0,-
181,72,Monto Hospital,Sep-23,2,25,32,100.0,0,-,72,100,100,1,4,0,1
182,72,Monto Hospital,Sep-23,3,67,14,92.0,0,1,39,100,97,0,-,1,1
183,72,Monto Hospital,Sep-23,4,220,45,99.0,0,1,18,98,99,1,0,2,1
184,72,Monto Hospital,Sep-23,5,103,98,99.0,0,4,1,100,100,0,-,4,1
185,72,Monto Hospital,Sep-23,ALL,417,47,98.0,0,2,21,99,99,2,0,7,1
186,74,Mundubbera Hospital,Sep-23,1,0,-,,0,,,,,0,,0,-
187,74,Mundubbera Hospital,Sep-23,2,10,11,100.0,0,-,70,100,100,0,-,0,1
188,74,Mundubbera Hospital,Sep-23,3,62,-3,100.0,0,-,40,100,100,1,2,0,1
189,74,Mundubbera Hospital,Sep-23,4,90,-17,99.0,0,-,16,100,100,0,-,0,1
190,74,Mundubbera Hospital,Sep-23,5,44,19,100.0,0,-,-,,100,0,-,0,1
191,74,Mundubbera Hospital,Sep-23,ALL,206,-6,100.0,0,-,22,100,100,1,0,0,1
192,75,Murgon Hospital,Sep-23,1,3,50,100.0,0,-,67,100,67,0,-,0,-
193,75,Murgon Hospital,Sep-23,2,92,53,84.0,1,-,43,88,84,2,2,0,1
194,75,Murgon Hospital,Sep-23,3,247,24,86.0,4,3,32,85,85,1,0,8,1
195,75,Murgon Hospital,Sep-23,4,533,-4,86.0,10,8,9,82,92,4,1,41,1
196,75,Murgon Hospital,Sep-23,5,290,37,98.0,10,7,6,89,98,1,0,19,1
197,75,Murgon Hospital,Sep-23,ALL,1165,13,89.0,7,6,16,85,91,8,1,68,1
198,76,Nanango Hospital,Sep-23,1,1,-,100.0,0,-,-,,100,0,-,0,-
199,76,Nanango Hospital,Sep-23,2,49,-21,94.0,0,2,14,43,86,0,-,1,1
200,76,Nanango Hospital,Sep-23,3,82,15,93.0,5,-,12,60,90,1,1,0,1
201,76,Nanango Hospital,Sep-23,4,276,-18,91.0,9,4,5,38,90,2,1,10,1
202,76,Nanango Hospital,Sep-23,5,543,23,97.0,9,3,1,86,97,1,0,14,1
203,76,Nanango Hospital,Sep-23,ALL,951,4,95.0,6,3,4,54,94,4,0,25,1
204,91,Chinchilla Hospital,Sep-23,1,2,-60,100.0,0,-,50,100,100,0,-,0,-
205,91,Chinchilla Hospital,Sep-23,2,141,58,84.0,2,-,48,91,90,2,1,0,1
206,91,Chinchilla Hospital,Sep-23,3,396,25,89.0,4,2,31,88,92,2,1,8,1
207,91,Chinchilla Hospital,Sep-23,4,870,16,94.0,3,2,10,89,96,4,0,21,1
208,91,Chinchilla Hospital,Sep-23,5,906,-5,100.0,3,2,3,87,99,0,-,17,1
209,91,Chinchilla Hospital,Sep-23,ALL,2315,9,94.0,3,2,13,89,96,8,0,46,1
210,92,Dalby Hospital,Sep-23,1,13,30,100.0,0,-,54,71,85,0,-,0,1
211,92,Dalby Hospital,Sep-23,2,371,7,57.0,8,-,51,88,81,3,1,0,1
212,92,Dalby Hospital,Sep-23,3,1291,13,60.0,23,3,30,82,85,8,1,41,3
213,92,Dalby Hospital,Sep-23,4,1558,3,63.0,41,7,9,85,90,6,0,110,3
214,92,Dalby Hospital,Sep-23,5,519,-18,86.0,29,12,2,75,93,0,-,64,3
215,92,Dalby Hospital,Sep-23,ALL,3752,3,64.0,27,6,20,84,88,17,0,215,3
216,93,Goondiwindi Hospital,Sep-23,1,7,-30,100.0,0,-,43,67,71,2,29,0,-
217,93,Goondiwindi Hospital,Sep-23,2,143,13,90.0,0,-,51,75,84,1,1,0,1
218,93,Goondiwindi Hospital,Sep-23,3,518,8,92.0,2,1,30,76,83,2,0,3,1
219,93,Goondiwindi Hospital,Sep-23,4,1150,14,93.0,5,4,7,81,94,3,0,45,1
220,93,Goondiwindi Hospital,Sep-23,5,946,39,97.0,5,4,2,65,97,0,-,41,1
221,93,Goondiwindi Hospital,Sep-23,ALL,2764,20,94.0,3,3,12,76,92,8,0,89,1
222,95,Jandowae Hospital,Sep-23,1,1,0,100.0,0,-,100,100,100,0,-,0,-
223,95,Jandowae Hospital,Sep-23,2,20,54,80.0,0,-,25,80,80,0,-,0,1
224,95,Jandowae Hospital,Sep-23,3,112,38,96.0,0,-,28,97,96,0,-,0,1
225,95,Jandowae Hospital,Sep-23,4,144,21,98.0,0,1,8,100,99,0,-,2,1
226,95,Jandowae Hospital,Sep-23,5,202,38,100.0,0,-,4,88,99,0,-,0,1
227,95,Jandowae Hospital,Sep-23,ALL,479,33,97.0,0,0,12,95,97,0,-,2,1
228,97,Miles Hospital,Sep-23,1,0,-100,,0,,,,,0,,0,-
229,97,Miles Hospital,Sep-23,2,59,59,100.0,0,-,66,100,98,0,-,0,1
230,97,Miles Hospital,Sep-23,3,169,48,94.0,3,1,34,98,98,4,2,1,1
231,97,Miles Hospital,Sep-23,4,299,26,97.0,6,1,13,98,98,0,-,4,1
232,97,Miles Hospital,Sep-23,5,501,-10,100.0,12,3,6,97,99,2,0,17,1
233,97,Miles Hospital,Sep-23,ALL,1028,8,98.0,5,2,16,98,99,6,1,22,1
234,98,Millmerran Hospital,Sep-23,1,6,0,100.0,0,-,17,100,50,0,-,0,-
235,98,Millmerran Hospital,Sep-23,2,97,94,89.0,0,-,34,79,76,0,-,0,1
236,98,Millmerran Hospital,Sep-23,3,209,53,92.0,0,1,14,86,90,5,2,2,1
237,98,Millmerran Hospital,Sep-23,4,230,-1,95.0,3,2,5,92,96,5,2,4,1
238,98,Millmerran Hospital,Sep-23,5,93,-48,98.0,5,2,6,83,97,0,-,2,1
239,98,Millmerran Hospital,Sep-23,ALL,635,5,93.0,1,1,13,84,91,10,2,8,1
240,99,Oakey Hospital,Sep-23,1,3,200,100.0,0,-,67,50,33,0,-,0,-
241,99,Oakey Hospital,Sep-23,2,25,-19,92.0,3,-,20,80,80,0,-,0,1
242,99,Oakey Hospital,Sep-23,3,221,26,88.0,5,1,10,77,92,2,1,2,1
243,99,Oakey Hospital,Sep-23,4,359,11,97.0,7,1,8,87,95,0,-,3,1
244,99,Oakey Hospital,Sep-23,5,174,61,100.0,0,-,3,83,99,1,1,0,1
245,99,Oakey Hospital,Sep-23,ALL,782,22,94.0,5,1,8,82,94,3,0,5,1
246,100,Stanthorpe Hospital,Sep-23,1,10,100,100.0,0,-,20,50,60,0,-,0,1
247,100,Stanthorpe Hospital,Sep-23,2,237,14,89.0,2,-,45,77,79,1,0,0,1
248,100,Stanthorpe Hospital,Sep-23,3,695,20,89.0,5,2,26,78,85,6,1,16,1
249,100,Stanthorpe Hospital,Sep-23,4,629,13,91.0,6,5,7,78,92,0,-,33,1
250,100,Stanthorpe Hospital,Sep-23,5,469,-22,100.0,2,5,3,67,96,0,-,23,1
251,100,Stanthorpe Hospital,Sep-23,ALL,2040,5,92.0,4,4,17,77,89,7,0,72,1
252,101,Tara Hospital,Sep-23,1,1,0,100.0,0,-,-,,100,0,-,0,-
253,101,Tara Hospital,Sep-23,2,75,39,87.0,0,-,41,77,77,1,1,0,1
254,101,Tara Hospital,Sep-23,3,218,25,95.0,0,1,19,95,90,3,1,2,1
255,101,Tara Hospital,Sep-23,4,386,6,97.0,2,1,5,90,97,0,-,3,1
256,101,Tara Hospital,Sep-23,5,573,11,99.0,5,2,2,90,99,2,0,10,1
257,101,Tara Hospital,Sep-23,ALL,1253,13,96.0,2,1,8,88,96,6,0,15,1
258,102,Taroom Hospital,Sep-23,1,1,-,100.0,0,-,100,100,100,0,-,0,-
259,102,Taroom Hospital,Sep-23,2,18,-10,94.0,0,-,61,91,89,0,-,0,1
260,102,Taroom Hospital,Sep-23,3,40,-38,100.0,0,-,35,93,98,0,-,0,1
261,102,Taroom Hospital,Sep-23,4,91,-12,100.0,0,-,9,100,97,0,-,0,1
262,102,Taroom Hospital,Sep-23,5,361,-10,100.0,0,-,1,100,99,0,-,0,1
263,102,Taroom Hospital,Sep-23,ALL,511,-13,100.0,0,-,7,95,98,0,-,0,1
264,103,Texas Hospital,Sep-23,1,0,-,,0,,,,,0,,0,-
265,103,Texas Hospital,Sep-23,2,15,25,87.0,0,-,40,50,53,0,-,0,1
266,103,Texas Hospital,Sep-23,3,64,16,94.0,0,2,17,73,83,0,-,1,1
267,103,Texas Hospital,Sep-23,4,100,-6,96.0,0,1,4,100,94,0,-,1,1
268,103,Texas Hospital,Sep-23,5,142,-31,100.0,4,1,1,50,99,0,-,1,1
269,103,Texas Hospital,Sep-23,ALL,321,-16,97.0,0,1,7,70,92,0,-,3,1
270,104,Toowoomba Hospital,Sep-23,1,135,-16,100.0,0,-,76,28,31,0,-,0,1
271,104,Toowoomba Hospital,Sep-23,2,3739,25,60.0,9,0,61,46,52,81,2,11,1
272,104,Toowoomba Hospital,Sep-23,3,9462,4,54.0,27,5,43,45,50,865,9,426,3
273,104,Toowoomba Hospital,Sep-23,4,3200,3,64.0,39,6,13,52,71,368,12,207,3
274,104,Toowoomba Hospital,Sep-23,5,354,22,89.0,31,8,5,63,82,38,11,30,3
275,104,Toowoomba Hospital,Sep-23,ALL,16890,8,58.0,22,4,41,45,55,1352,8,674,2
276,105,Warwick Hospital,Sep-23,1,22,0,100.0,0,-,36,63,68,0,-,0,1
277,105,Warwick Hospital,Sep-23,2,728,22,43.0,13,0,56,62,65,6,1,1,1
278,105,Warwick Hospital,Sep-23,3,1912,12,57.0,26,2,30,59,74,11,1,37,3
279,105,Warwick Hospital,Sep-23,4,2253,6,68.0,35,5,8,59,88,7,0,113,3
280,105,Warwick Hospital,Sep-23,5,674,-11,94.0,29,7,3,72,95,1,0,46,3
281,105,Warwick Hospital,Sep-23,ALL,5589,7,63.0,26,4,21,61,81,25,0,197,3
282,106,Wandoan Hospital,Sep-23,1,0,-,,0,,,,,0,,0,-
283,106,Wandoan Hospital,Sep-23,2,1,0,100.0,0,-,-,,100,0,-,0,-
284,106,Wandoan Hospital,Sep-23,3,3,200,100.0,0,-,-,,100,0,-,0,-
285,106,Wandoan Hospital,Sep-23,4,46,10,100.0,0,-,-,,98,0,-,0,1
286,106,Wandoan Hospital,Sep-23,5,202,64,100.0,0,-,-,,99,0,-,0,1
287,106,Wandoan Hospital,Sep-23,ALL,252,51,100.0,0,-,-,,98,0,-,0,1
288,112,Charleville Hospital,Sep-23,1,1,-50,100.0,0,-,100,100,100,0,-,0,-
289,112,Charleville Hospital,Sep-23,2,116,68,100.0,0,-,51,76,78,1,1,0,1
290,112,Charleville Hospital,Sep-23,3,408,23,100.0,0,1,31,85,88,2,0,5,1
291,112,Charleville Hospital,Sep-23,4,549,-3,100.0,0,3,7,74,94,0,-,18,1
292,112,Charleville Hospital,Sep-23,5,205,-29,100.0,0,4,2,100,97,0,-,9,1
293,112,Charleville Hospital,Sep-23,ALL,1279,2,100.0,0,3,18,81,91,3,0,32,1
294,113,Cunnamulla Hospital,Sep-23,1,2,100,100.0,0,-,50,100,100,0,-,0,-
295,113,Cunnamulla Hospital,Sep-23,2,23,-8,100.0,0,-,70,88,91,0,-,0,1
296,113,Cunnamulla Hospital,Sep-23,3,75,-15,100.0,0,-,29,86,93,0,-,0,1
297,113,Cunnamulla Hospital,Sep-23,4,133,-29,100.0,0,1,9,75,93,1,1,1,1
298,113,Cunnamulla Hospital,Sep-23,5,85,-29,100.0,0,-,4,100,100,2,2,0,1
299,113,Cunnamulla Hospital,Sep-23,ALL,318,-24,100.0,0,0,17,85,95,3,1,1,1
300,114,Dirranbandi Hospital,Sep-23,1,0,-100,,0,,,,,0,,0,-
301,114,Dirranbandi Hospital,Sep-23,2,20,67,100.0,0,-,35,100,80,2,10,0,1
302,114,Dirranbandi Hospital,Sep-23,3,50,-2,100.0,0,2,34,94,92,1,2,1,1
303,114,Dirranbandi Hospital,Sep-23,4,108,0,98.0,0,2,6,86,96,2,2,2,1
304,114,Dirranbandi Hospital,Sep-23,5,61,-36,100.0,0,-,2,100,100,1,2,0,1
305,114,Dirranbandi Hospital,Sep-23,ALL,239,-11,99.0,0,1,13,94,95,6,3,3,1
306,116,Mitchell Hospital,Sep-23,1,2,-,100.0,0,-,100,50,50,0,-,0,-
307,116,Mitchell Hospital,Sep-23,2,34,3,100.0,0,-,56,100,97,0,-,0,1
308,116,Mitchell Hospital,Sep-23,3,59,-11,100.0,0,2,46,96,93,0,-,1,1
309,116,Mitchell Hospital,Sep-23,4,98,-3,100.0,0,-,29,96,99,2,2,0,1
310,116,Mitchell Hospital,Sep-23,5,102,15,100.0,0,1,6,83,96,1,1,1,1
311,116,Mitchell Hospital,Sep-23,ALL,295,2,100.0,0,1,28,95,96,3,1,2,1
312,117,Mungindi Hospital,Sep-23,1,0,-,,0,,,,,0,,0,-
313,117,Mungindi Hospital,Sep-23,2,8,-27,100.0,0,-,13,100,75,0,-,0,-
314,117,Mungindi Hospital,Sep-23,3,43,0,98.0,0,-,19,88,86,2,5,0,1
315,117,Mungindi Hospital,Sep-23,4,103,-6,99.0,0,1,7,100,93,2,2,1,1
316,117,Mungindi Hospital,Sep-23,5,43,-37,98.0,0,2,-,,95,0,-,1,1
317,117,Mungindi Hospital,Sep-23,ALL,197,-15,98.0,0,1,8,94,91,4,2,2,1
318,118,Quilpie Hospital,Sep-23,1,0,-100,,0,,,,,0,,0,-
319,118,Quilpie Hospital,Sep-23,2,18,0,100.0,0,-,44,88,89,0,-,0,1
320,118,Quilpie Hospital,Sep-23,3,27,-49,100.0,0,-,26,86,93,0,-,0,1
321,118,Quilpie Hospital,Sep-23,4,69,-25,100.0,0,-,6,100,97,0,-,0,1
322,118,Quilpie Hospital,Sep-23,5,38,-53,100.0,0,-,-,,100,0,-,0,1
323,118,Quilpie Hospital,Sep-23,ALL,152,-38,100.0,0,-,13,89,96,0,-,0,1
324,119,Roma Hospital,Sep-23,1,7,-30,100.0,0,-,29,100,43,0,-,0,-
325,119,Roma Hospital,Sep-23,2,285,-5,100.0,3,-,44,42,58,6,2,0,1
326,119,Roma Hospital,Sep-23,3,848,2,96.0,8,1,27,36,70,8,1,9,1
327,119,Roma Hospital,Sep-23,4,1346,13,95.0,13,5,7,42,86,9,1,71,1
328,119,Roma Hospital,Sep-23,5,327,-15,97.0,17,7,2,83,95,1,0,23,2
329,119,Roma Hospital,Sep-23,ALL,2813,3,96.0,9,4,16,40,79,24,1,103,1
330,120,St George Hospital,Sep-23,1,1,-67,100.0,0,-,100,100,100,0,-,0,-
331,120,St George Hospital,Sep-23,2,56,14,100.0,0,-,66,95,93,0,-,0,1
332,120,St George Hospital,Sep-23,3,225,32,98.0,0,-,36,93,96,2,1,0,1
333,120,St George Hospital,Sep-23,4,579,25,100.0,1,1,12,96,98,1,0,3,1
334,120,St George Hospital,Sep-23,5,497,-7,100.0,1,2,6,97,99,0,-,8,1
335,120,St George Hospital,Sep-23,ALL,1358,11,100.0,1,1,16,94,98,3,0,11,1
336,121,Surat Hospital,Sep-23,1,0,-,,0,,,,,0,,0,-
337,121,Surat Hospital,Sep-23,2,13,0,100.0,0,-,15,100,92,0,-,0,1
338,121,Surat Hospital,Sep-23,3,36,20,100.0,0,-,28,80,78,0,-,0,1
339,121,Surat Hospital,Sep-23,4,85,12,100.0,1,-,5,100,99,0,-,0,1
340,121,Surat Hospital,Sep-23,5,56,-36,100.0,0,-,2,100,100,2,4,0,1
341,121,Surat Hospital,Sep-23,ALL,190,-8,100.0,0,-,9,88,95,2,1,0,1
342,133,Biloela Hospital,Sep-23,1,8,700,100.0,0,-,38,67,63,1,13,0,-
343,133,Biloela Hospital,Sep-23,2,175,90,69.0,5,1,33,74,75,3,2,1,1
344,133,Biloela Hospital,Sep-23,3,493,20,79.0,10,1,16,78,87,4,1,7,1
345,133,Biloela Hospital,Sep-23,4,715,-19,86.0,14,5,6,76,93,6,1,38,1
346,133,Biloela Hospital,Sep-23,5,539,29,95.0,18,6,3,87,96,1,0,35,2
347,133,Biloela Hospital,Sep-23,ALL,1930,7,85.0,12,4,10,77,91,15,1,81,1
348,134,Blackwater Hospital,Sep-23,1,2,-33,100.0,0,-,-,,100,0,-,0,-
349,134,Blackwater Hospital,Sep-23,2,117,11,93.0,1,-,6,71,71,4,3,0,1
350,134,Blackwater Hospital,Sep-23,3,398,17,96.0,2,1,5,78,90,10,3,3,1
351,134,Blackwater Hospital,Sep-23,4,756,13,97.0,3,4,0,100,98,9,1,27,1
352,134,Blackwater Hospital,Sep-23,5,290,56,100.0,4,3,-,,99,1,0,9,1
353,134,Blackwater Hospital,Sep-23,ALL,1563,20,97.0,2,2,2,78,94,24,2,39,1
354,135,Emerald Hospital,Sep-23,1,16,-27,100.0,0,-,69,82,56,1,6,0,1
355,135,Emerald Hospital,Sep-23,2,448,10,66.0,7,0,52,58,62,1,0,1,1
356,135,Emerald Hospital,Sep-23,3,1370,4,62.0,22,3,25,59,72,15,1,43,2
357,135,Emerald Hospital,Sep-23,4,1823,2,61.0,39,13,5,53,78,16,1,229,3
358,135,Emerald Hospital,Sep-23,5,431,-28,79.0,36,13,2,38,83,4,1,57,3
359,135,Emerald Hospital,Sep-23,ALL,4088,-1,64.0,24,8,17,58,75,37,1,330,3
360,136,Gladstone Hospital,Sep-23,1,46,0,100.0,0,-,57,46,46,2,4,0,1
361,136,Gladstone Hospital,Sep-23,2,1045,2,77.0,5,0,46,47,52,32,3,3,1
362,136,Gladstone Hospital,Sep-23,3,3173,-6,87.0,11,2,26,30,57,148,5,53,1
363,136,Gladstone Hospital,Sep-23,4,4229,7,95.0,13,4,7,33,77,244,6,161,1
364,136,Gladstone Hospital,Sep-23,5,567,12,97.0,16,8,2,18,91,24,4,46,1
365,136,Gladstone Hospital,Sep-23,ALL,9060,2,90.0,11,3,18,36,68,450,5,263,1
366,139,Mount Morgan Hospital,Sep-23,1,2,100,100.0,1,-,-,,100,0,-,0,-
367,139,Mount Morgan Hospital,Sep-23,2,99,2,94.0,0,-,17,53,63,1,1,0,1
368,139,Mount Morgan Hospital,Sep-23,3,430,21,83.0,5,2,7,68,79,8,2,8,1
369,139,Mount Morgan Hospital,Sep-23,4,335,19,89.0,10,1,2,63,92,4,1,4,1
370,139,Mount Morgan Hospital,Sep-23,5,49,-39,100.0,5,8,-,,94,0,-,4,1
371,139,Mount Morgan Hospital,Sep-23,ALL,915,12,87.0,5,2,6,63,83,13,1,16,1
372,140,Moura Hospital,Sep-23,1,1,0,100.0,0,-,-,,-,0,-,0,-
373,140,Moura Hospital,Sep-23,2,47,21,98.0,0,-,60,100,91,3,6,0,1
374,140,Moura Hospital,Sep-23,3,96,-20,100.0,0,2,25,83,93,5,5,2,1
375,140,Moura Hospital,Sep-23,4,139,-25,99.0,0,1,6,100,96,0,-,2,1
376,140,Moura Hospital,Sep-23,5,281,11,100.0,0,1,1,100,100,0,-,3,1
377,140,Moura Hospital,Sep-23,ALL,564,-6,99.0,0,1,11,94,97,8,1,7,1
378,141,Rockhampton Hospital,Sep-23,1,90,25,100.0,0,-,70,24,32,0,-,0,1
379,141,Rockhampton Hospital,Sep-23,2,2295,6,76.0,6,0,46,21,35,95,4,10,1
380,141,Rockhampton Hospital,Sep-23,3,6522,9,52.0,29,4,29,19,46,347,5,236,3
381,141,Rockhampton Hospital,Sep-23,4,3970,-12,64.0,33,8,12,24,64,218,5,309,3
382,141,Rockhampton Hospital,Sep-23,5,495,13,87.0,35,10,8,45,81,21,4,49,3
383,141,Rockhampton Hospital,Sep-23,ALL,13372,1,61.0,22,5,26,21,51,681,5,604,2
384,142,Springsure Hospital,Sep-23,1,0,-,,0,,,,,0,,0,-
385,142,Springsure Hospital,Sep-23,2,28,87,93.0,0,-,36,90,82,0,-,0,1
386,142,Springsure Hospital,Sep-23,3,72,-15,94.0,0,-,21,73,81,0,-,0,1
387,142,Springsure Hospital,Sep-23,4,106,-17,99.0,3,-,3,67,94,0,-,0,1
388,142,Springsure Hospital,Sep-23,5,181,65,100.0,3,-,1,100,99,0,-,0,1
389,142,Springsure Hospital,Sep-23,ALL,387,14,98.0,0,-,8,80,93,0,-,0,1
390,144,Capricorn Coast Hospital,Sep-23,1,8,14,100.0,0,-,25,50,75,0,-,0,-
391,144,Capricorn Coast Hospital,Sep-23,2,441,9,72.0,6,1,20,49,51,16,4,3,1
392,144,Capricorn Coast Hospital,Sep-23,3,1728,1,59.0,23,5,11,29,60,68,4,89,3
393,144,Capricorn Coast Hospital,Sep-23,4,1980,4,73.0,23,10,3,36,82,53,3,206,3
394,144,Capricorn Coast Hospital,Sep-23,5,296,-3,95.0,18,12,0,-,96,8,3,36,2
395,144,Capricorn Coast Hospital,Sep-23,ALL,4453,3,68.0,19,8,8,36,71,145,3,334,2
396,145,Woorabinda Hospital,Sep-23,1,1,-,100.0,0,-,-,,100,0,-,0,-
397,145,Woorabinda Hospital,Sep-23,2,82,156,95.0,0,4,12,80,80,6,7,3,1
398,145,Woorabinda Hospital,Sep-23,3,244,-25,98.0,0,2,10,76,87,10,4,5,1
399,145,Woorabinda Hospital,Sep-23,4,111,-6,97.0,0,3,1,100,92,1,1,3,1
400,145,Woorabinda Hospital,Sep-23,5,203,-35,99.0,0,1,0,-,98,2,1,3,1
401,145,Woorabinda Hospital,Sep-23,ALL,641,-19,98.0,0,2,6,76,90,19,3,14,1
402,152,Barcaldine Hospital,Sep-23,1,1,-,100.0,1,-,100,100,100,0,-,0,-
403,152,Barcaldine Hospital,Sep-23,2,40,-17,98.0,0,-,40,94,90,1,3,0,1
404,152,Barcaldine Hospital,Sep-23,3,129,-1,96.0,0,5,28,89,90,2,2,6,1
405,152,Barcaldine Hospital,Sep-23,4,241,25,98.0,0,2,8,90,95,1,0,5,1
406,152,Barcaldine Hospital,Sep-23,5,152,35,99.0,0,1,3,100,99,0,-,1,1
407,152,Barcaldine Hospital,Sep-23,ALL,563,16,98.0,0,2,14,91,95,4,1,12,1
408,153,Blackall Hospital,Sep-23,1,2,0,100.0,1,-,100,100,100,0,-,0,-
409,153,Blackall Hospital,Sep-23,2,13,-61,100.0,0,-,69,100,100,0,-,0,1
410,153,Blackall Hospital,Sep-23,3,68,-16,97.0,0,-,47,88,94,0,-,0,1
411,153,Blackall Hospital,Sep-23,4,162,12,99.0,0,-,19,100,97,0,-,0,1
412,153,Blackall Hospital,Sep-23,5,121,2,100.0,0,1,6,100,99,0,-,1,1
413,153,Blackall Hospital,Sep-23,ALL,366,-4,99.0,0,0,22,95,97,0,-,1,1
414,156,Longreach Hospital,Sep-23,1,1,-50,100.0,0,-,100,-,-,0,-,0,-
415,156,Longreach Hospital,Sep-23,2,99,-30,94.0,0,-,43,67,77,0,-,0,1
416,156,Longreach Hospital,Sep-23,3,290,-21,95.0,4,1,25,75,86,3,1,4,1
417,156,Longreach Hospital,Sep-23,4,514,-4,96.0,6,2,8,84,94,0,-,11,1
418,156,Longreach Hospital,Sep-23,5,529,17,99.0,9,4,2,91,98,0,-,20,1
419,156,Longreach Hospital,Sep-23,ALL,1433,-4,96.0,5,2,12,76,92,3,0,35,1
420,159,Winton Hospital,Sep-23,1,3,200,100.0,0,-,100,100,100,0,-,0,-
421,159,Winton Hospital,Sep-23,2,38,41,97.0,0,-,66,88,89,0,-,0,1
422,159,Winton Hospital,Sep-23,3,80,-13,99.0,0,-,38,97,96,0,-,0,1
423,159,Winton Hospital,Sep-23,4,162,17,99.0,0,1,5,100,98,2,1,2,1
424,159,Winton Hospital,Sep-23,5,92,-23,100.0,1,1,5,80,98,0,-,1,1
425,159,Winton Hospital,Sep-23,ALL,375,-1,99.0,0,1,19,93,97,2,1,3,1
426,171,Clermont Hospital,Sep-23,1,5,-,100.0,0,-,40,100,100,0,-,0,-
427,171,Clermont Hospital,Sep-23,2,74,35,95.0,0,-,34,84,78,0,-,0,1
428,171,Clermont Hospital,Sep-23,3,226,10,94.0,0,1,22,69,85,0,-,2,1
429,171,Clermont Hospital,Sep-23,4,275,-40,97.0,0,-,8,83,94,0,-,0,1
430,171,Clermont Hospital,Sep-23,5,217,-61,99.0,0,1,2,100,98,2,1,2,1
431,171,Clermont Hospital,Sep-23,ALL,797,-38,96.0,0,1,13,78,91,2,0,4,1
432,172,Mackay Base Hospital,Sep-23,1,94,16,100.0,1,-,77,40,39,0,-,0,1
433,172,Mackay Base Hospital,Sep-23,2,3411,19,99.0,8,0,54,26,42,2,0,1,1
434,172,Mackay Base Hospital,Sep-23,3,5893,-10,89.0,14,1,33,25,55,18,0,72,1
435,172,Mackay Base Hospital,Sep-23,4,3249,8,95.0,18,3,10,34,81,8,0,93,2
436,172,Mackay Base Hospital,Sep-23,5,514,29,99.0,21,6,3,41,89,2,0,32,2
437,172,Mackay Base Hospital,Sep-23,ALL,13161,2,94.0,10,2,32,26,59,30,0,198,1
438,173,Moranbah Hospital,Sep-23,1,5,0,100.0,0,-,20,100,80,1,20,0,-
439,173,Moranbah Hospital,Sep-23,2,154,-1,97.0,0,1,16,72,79,2,1,1,1
440,173,Moranbah Hospital,Sep-23,3,474,19,97.0,5,0,9,81,90,10,2,1,1
441,173,Moranbah Hospital,Sep-23,4,518,0,96.0,10,1,3,89,97,11,2,7,1
442,173,Moranbah Hospital,Sep-23,5,395,3,98.0,15,2,-,,99,2,1,9,1
443,173,Moranbah Hospital,Sep-23,ALL,1546,6,97.0,6,1,6,80,94,26,2,18,1
444,174,Proserpine Hospital,Sep-23,1,22,5,100.0,0,-,23,20,41,0,-,0,1
445,174,Proserpine Hospital,Sep-23,2,347,-27,90.0,5,-,33,47,59,8,2,0,1
446,174,Proserpine Hospital,Sep-23,3,1309,-8,90.0,11,1,21,37,69,22,2,14,1
447,174,Proserpine Hospital,Sep-23,4,2328,22,84.0,19,3,5,36,89,12,1,78,2
448,174,Proserpine Hospital,Sep-23,5,773,11,93.0,22,7,1,40,94,3,0,57,2
